,X,Y,Z
204,2.01,0.12,-0.37
205,2.14,0.06,-0.37
206,2.08,0.12,-0.37
207,2.26,0.06,-0.31
208,2.14,0.0,-0.31
209,2.2,0.12,-0.37
210,2.26,0.06,-0.37
211,2.14,0.12,-0.31
212,2.01,0.06,-0.43
213,2.08,0.12,-0.43
214,2.08,0.06,-0.31
215,2.08,0.0,-0.18
216,2.01,0.06,-0.24
217,1.95,0.0,-0.31
218,1.95,0.12,-0.31
219,2.01,0.12,-0.24
220,2.14,0.12,-0.24
221,2.14,0.0,-0.18
222,2.2,0.06,-0.18
223,2.14,0.12,-0.24
224,2.01,0.12,-0.43
225,1.95,0.18,-0.43
226,2.01,0.06,-0.24
227,2.08,0.06,-0.31
228,2.14,0.06,-0.49
229,2.01,0.06,-0.55
230,2.08,0.06,-0.43
231,2.14,0.18,-0.37
232,2.14,0.12,-0.24
233,2.08,0.12,-0.12
234,2.01,0.0,-0.12
235,2.01,-0.06,-0.12
236,1.89,0.0,-0.37
237,1.95,0.18,-0.24
238,2.01,0.0,-0.18
239,2.01,0.24,-0.24
240,2.01,0.06,-0.37
241,2.01,0.06,-0.31
242,2.01,0.12,-0.43
243,1.95,0.18,-0.43
244,2.08,0.18,-0.37
245,2.01,0.12,-0.37
246,2.08,0.06,-0.43
247,2.2,0.06,-0.49
248,2.26,0.18,-0.43
249,2.01,0.12,-0.31
250,31.03,8.58,-45.87
251,31.03,8.58,-45.87
252,30.69,8.46,-45.53
253,30.69,8.46,-45.53
254,30.69,8.46,-45.53
255,30.69,8.46,-45.53
256,30.69,8.46,-45.53
257,30.69,8.46,-45.53
258,30.58,8.86,-45.52
259,30.58,8.86,-45.52
260,30.58,8.86,-45.52
261,30.58,8.86,-45.52
262,30.58,8.86,-45.52
263,30.58,8.86,-45.52
264,30.53,9.46,-46.61
265,30.53,9.46,-46.61
266,30.53,9.46,-46.61
267,30.53,9.46,-46.61
268,30.53,9.46,-46.61
269,30.53,9.46,-46.61
270,30.68,9.07,-45.84
271,30.68,9.07,-45.84
272,30.68,9.07,-45.84
273,30.68,9.07,-45.84
274,30.68,9.07,-45.84
275,30.68,9.07,-45.84
276,30.53,8.78,-46.78
277,30.53,8.78,-46.78
278,30.53,8.78,-46.78
279,30.53,8.78,-46.78
280,30.53,8.78,-46.78
281,30.53,8.78,-46.78
282,30.1,9.08,-45.84
283,30.1,9.08,-45.84
284,30.1,9.08,-45.84
285,30.1,9.08,-45.84
286,30.1,9.08,-45.84
287,30.1,9.08,-45.84
288,30.36,9.36,-46.29
289,30.36,9.36,-46.29
290,30.36,9.36,-46.29
291,30.36,9.36,-46.29
292,30.36,9.36,-46.29
293,30.36,9.36,-46.29
294,30.37,9.23,-46.55
295,30.37,9.23,-46.55
296,30.37,9.23,-46.55
297,30.37,9.23,-46.55
298,30.37,9.23,-46.55
299,30.37,9.23,-46.55
300,29.76,8.96,-47.16
301,29.76,8.96,-47.16
302,29.76,8.96,-47.16
303,29.76,8.96,-47.16
304,29.76,8.96,-47.16
305,29.76,8.96,-47.16
306,30.4,8.79,-46.47
307,30.4,8.79,-46.47
308,30.4,8.79,-46.47
309,30.4,8.79,-46.47
310,30.4,8.79,-46.47
311,30.4,8.79,-46.47
312,30.26,9.12,-45.46
313,30.26,9.12,-45.46
314,30.26,9.12,-45.46
315,30.26,9.12,-45.46
316,30.26,9.12,-45.46
317,30.26,9.12,-45.46
318,30.71,8.89,-46.23
319,30.71,8.89,-46.23
320,30.71,8.89,-46.23
321,30.71,8.89,-46.23
322,30.71,8.89,-46.23
323,30.71,8.89,-46.23
324,29.94,9.03,-45.67
325,29.94,9.03,-45.67
326,29.94,9.03,-45.67
327,29.94,9.03,-45.67
328,29.94,9.03,-45.67
329,29.94,9.03,-45.67
330,30.44,9.16,-46.39
331,30.44,9.16,-46.39
332,30.44,9.16,-46.39
333,30.44,9.16,-46.39
334,30.44,9.16,-46.39
335,30.44,9.16,-46.39
336,30.11,9.02,-46.33
337,30.11,9.02,-46.33
338,30.11,9.02,-46.33
339,30.11,9.02,-46.33
340,30.11,9.02,-46.33
341,30.11,9.02,-46.33
342,30.48,9.42,-46.4
343,30.48,9.42,-46.4
344,30.48,9.42,-46.4
345,30.48,9.42,-46.4
346,30.48,9.42,-46.4
347,30.48,9.42,-46.4
348,30.44,9.23,-47.27
349,30.44,9.23,-47.27
350,30.44,9.23,-47.27
351,30.44,9.23,-47.27
352,30.44,9.23,-47.27
353,30.44,9.23,-47.27
354,29.92,9.41,-46.45
355,29.92,9.41,-46.45
356,29.92,9.41,-46.45
357,29.92,9.41,-46.45
358,29.92,9.41,-46.45
359,29.92,9.41,-46.45
360,30.29,9.36,-45.26
361,30.29,9.36,-45.26
362,30.29,9.36,-45.26
363,30.29,9.36,-45.26
364,30.29,9.36,-45.26
365,30.29,9.36,-45.26
366,30.07,9.61,-46.29
367,30.07,9.61,-46.29
368,30.07,9.61,-46.29
369,30.07,9.61,-46.29
370,30.07,9.61,-46.29
371,30.07,9.61,-46.29
372,30.32,9.47,-46.15
373,30.32,9.47,-46.15
374,30.32,9.47,-46.15
