,X,Y,Z
207,0.79,-0.31,-2.81
208,3.17,-2.01,-3.05
209,4.27,-2.62,-2.2
210,4.82,-2.69,-2.26
211,5.07,-2.75,-2.01
212,4.88,-2.26,-1.28
213,4.64,-1.53,-0.55
214,5.37,-0.79,-1.1
215,4.82,-0.73,-2.01
216,3.11,0.0,-1.71
217,0.49,0.49,-2.87
218,-1.95,0.98,-3.78
219,-2.75,0.49,-3.05
220,-3.11,0.12,-2.32
221,-2.32,-0.79,-1.71
222,-0.79,-2.14,0.12
223,0.31,-2.56,1.59
224,0.79,-2.56,1.4
225,1.59,-2.62,-1.46
226,1.77,-1.89,-2.38
227,1.83,-0.43,-2.26
228,2.56,0.12,-2.26
229,2.56,0.61,-2.44
230,2.5,0.55,-2.56
231,2.5,0.85,-2.01
232,2.2,1.04,-1.04
233,2.08,0.31,-0.98
234,1.77,0.18,0.06
235,1.53,0.37,1.16
236,1.22,-0.18,1.46
237,1.4,-0.92,0.24
238,1.89,-1.22,0.67
239,1.77,-1.1,-0.67
240,2.5,-0.43,-0.92
241,2.5,0.55,-1.83
242,2.56,0.92,-2.08
243,1.16,1.22,-1.89
244,0.85,1.22,-1.95
245,0.43,0.31,-0.73
246,0.12,0.0,-0.37
247,-0.31,-0.67,0.43
248,-0.49,-1.16,1.77
249,-0.49,-1.46,2.5
250,-0.37,-1.28,2.38
251,-0.55,-0.73,2.32
252,0.12,-0.18,2.44
253,0.61,0.06,0.18
254,1.22,0.31,-2.08
255,0.98,0.0,-1.71
256,0.49,-0.55,-1.83
257,0.61,-0.92,-1.46
258,0.61,-0.92,-0.06
259,0.67,-0.92,-0.06
260,0.37,-1.34,1.65
261,0.43,-1.1,1.65
262,0.85,-0.67,1.46
263,1.16,0.0,1.83
264,1.34,0.67,0.67
265,1.89,0.67,-1.1
266,2.32,0.49,-1.89
267,2.38,0.06,-1.95
268,2.08,-0.37,-1.22
269,2.08,-0.37,0.37
270,2.44,-1.04,1.95
271,2.62,-1.34,1.46
272,2.93,-0.85,1.46
273,3.23,-0.55,0.55
274,3.17,0.43,1.16
275,3.23,0.98,-0.98
276,2.93,0.24,-0.85
277,1.83,-0.31,-0.98
278,1.1,-0.92,-1.65
279,1.04,-2.44,-1.46
280,0.73,-2.69,-0.31
281,1.28,-2.93,-1.22
282,2.87,-3.3,-0.79
283,2.44,-0.61,-0.92
284,3.3,0.18,-1.77
285,3.66,0.31,-1.28
286,4.21,0.92,-2.08
287,4.27,0.67,-2.08
288,5.0,0.67,-2.14
289,4.7,1.53,-2.14
290,3.85,1.95,-1.65
291,2.5,2.26,-0.31
292,1.04,1.65,-0.49
293,-0.55,0.55,-1.71
294,-1.16,-0.67,-1.1
295,-1.77,-0.85,0.49
296,-2.44,-0.18,1.46
297,-2.32,1.04,2.01
298,-2.5,2.08,2.2
299,-1.71,2.01,0.06
300,-0.43,2.14,-0.24
301,0.12,1.65,-1.95
302,2.14,0.12,-3.97
303,3.05,-1.16,-2.44
304,4.09,-2.5,-1.28
305,4.52,-2.5,0.85
306,4.21,-1.28,2.32
307,3.36,-0.31,1.34
308,3.17,0.0,-0.06
309,2.87,0.06,-1.16
310,2.87,-0.49,-1.89
311,2.56,-1.04,-0.73
312,1.95,0.06,-0.55
313,1.46,0.18,0.37
314,2.26,0.18,1.16
315,2.99,0.85,2.08
316,3.3,0.61,0.92
317,3.42,0.0,0.67
318,3.11,0.43,-0.61
319,3.42,0.0,-2.2
320,3.85,0.06,-1.89
321,3.3,1.28,-1.34
322,2.87,0.98,-0.85
323,2.26,0.43,-0.79
324,1.89,-0.12,-1.04
325,1.53,-0.49,-0.12
326,1.4,-0.18,0.0
327,1.59,-0.61,-1.4
328,48.78,6.69,3.61
329,48.93,7.46,3.83
330,48.93,7.46,3.83
331,48.93,7.46,3.83
332,48.93,7.46,3.83
333,48.93,7.46,3.83
334,48.93,7.46,3.83
335,48.22,7.63,3.37
336,48.22,7.63,3.37
337,48.22,7.63,3.37
338,48.22,7.63,3.37
339,48.22,7.63,3.37
340,48.22,7.63,3.37
341,48.61,7.42,3.14
342,48.61,7.42,3.14
343,48.61,7.42,3.14
344,48.61,7.42,3.14
345,48.61,7.42,3.14
346,48.61,7.42,3.14
347,48.43,7.03,3.08
348,48.43,7.03,3.08
349,48.43,7.03,3.08
350,48.43,7.03,3.08
351,48.43,7.03,3.08
352,48.43,7.03,3.08
353,48.43,7.09,4.0
354,48.43,7.09,4.0
355,48.43,7.09,4.0
356,48.43,7.09,4.0
357,48.43,7.09,4.0
358,48.43,7.09,4.0
359,49.01,7.32,4.27
360,49.01,7.32,4.27
361,49.01,7.32,4.27
362,49.01,7.32,4.27
363,49.01,7.32,4.27
364,49.01,7.32,4.3
365,48.28,6.84,4.3
366,48.28,6.84,4.3
367,48.28,6.84,4.3
368,48.28,6.84,4.3
369,48.28,6.84,4.3
370,48.24,7.67,3.75
371,48.24,7.67,3.75
372,48.24,7.67,3.75
373,48.24,7.67,3.75
374,48.24,7.67,3.75
375,48.24,7.67,3.75
376,48.43,6.87,4.75
377,48.43,6.87,4.75
378,48.43,6.87,4.75
379,48.43,6.87,4.75
380,48.43,6.87,4.75
381,48.43,6.87,4.75
382,48.1,7.25,4.14
383,48.1,7.25,4.14
384,48.1,7.25,4.14
385,48.1,7.25,4.14
386,48.1,7.25,4.14
387,48.1,7.25,4.14
388,48.36,7.24,3.92
389,48.36,7.24,3.92
390,48.36,7.24,3.92
391,48.36,7.24,3.92
392,48.36,7.24,3.92
393,48.36,7.24,3.92
394,48.95,7.62,3.09
395,48.95,7.62,3.09
396,48.95,7.62,3.09
397,48.95,7.62,3.09
398,48.95,7.62,3.09
399,48.95,7.62,3.09
400,49.39,7.48,3.76
401,49.39,7.48,3.76
402,49.39,7.48,3.76
403,49.39,7.48,3.76
404,49.39,7.48,3.76
405,49.39,7.48,3.76
406,48.97,7.81,3.58
407,48.97,7.81,3.58
408,48.97,7.81,3.58
409,48.97,7.81,3.58
410,48.97,7.81,3.58
411,48.97,7.81,3.58
412,48.4,7.96,3.89
413,48.4,7.96,3.89
414,48.4,7.96,3.89
415,48.4,7.96,3.89
416,48.4,7.96,3.89
417,48.4,7.96,3.89
418,49.13,7.78,3.99
419,49.13,7.78,3.99
420,49.13,7.78,3.99
421,49.13,7.78,3.99
422,49.13,7.78,3.99
423,49.13,7.78,3.99
424,49.37,7.96,3.05
425,49.37,7.96,3.05
426,49.37,7.96,3.05
427,49.37,7.96,3.05
428,49.37,7.96,3.05
429,49.37,7.96,3.05
430,49.11,7.58,3.72
431,49.11,7.58,3.72
432,49.11,7.58,3.72
433,49.11,7.58,3.72
434,49.11,7.58,3.72
435,49.11,7.58,3.72
436,49.22,7.28,2.86
437,49.22,7.28,2.86
438,49.22,7.28,2.86
439,49.22,7.28,2.86
440,49.22,7.28,2.86
441,49.22,7.28,2.86
442,49.58,7.76,3.58
443,49.58,7.76,3.58
444,49.58,7.76,3.58
445,49.58,7.76,3.58
446,49.58,7.76,3.58
447,49.58,7.76,3.58
448,48.93,7.73,3.04
449,48.93,7.73,3.04
450,48.93,7.73,3.04
451,48.93,7.73,3.04
452,48.93,7.73,3.04
453,48.93,7.73,3.04
454,48.74,7.75,4.13
455,48.74,7.75,4.13
456,48.74,7.75,4.13
457,48.74,7.75,4.13
458,48.74,7.75,4.13
459,48.74,7.75,4.13
460,48.45,7.56,4.02
461,48.45,7.56,4.02
462,48.45,7.56,4.02
463,48.45,7.56,4.02
464,48.45,7.56,4.02
465,49.04,7.39,4.77
466,49.04,7.39,4.77
467,49.04,7.39,4.77
468,49.04,7.39,4.77
469,49.04,7.39,4.77
470,49.04,7.39,4.77
471,48.95,7.64,2.75
472,48.95,7.64,2.75
473,48.95,7.64,2.75
474,48.95,7.64,2.75
475,48.95,7.64,2.75
476,48.95,7.64,2.75
477,48.36,7.81,3.25
478,48.36,7.81,3.25
479,48.36,7.81,3.25
480,48.36,7.81,3.25
481,48.36,7.81,3.25
482,48.36,7.81,3.25
483,48.52,7.84,3.47
484,48.52,7.84,3.47
485,48.52,7.84,3.47
486,48.52,7.84,3.47
487,48.52,7.84,3.47
488,48.52,7.84,3.47
489,48.96,8.01,3.02
490,48.96,8.01,3.02
491,48.96,8.01,3.02
