,X,Y,Z
196,30.91,4.74,22.03
197,30.91,4.74,22.03
198,30.91,4.74,22.03
199,30.91,4.74,22.03
200,30.91,4.74,22.03
201,32.25,4.25,22.75
202,32.25,4.25,22.75
203,32.25,4.25,22.75
204,32.25,4.25,22.75
205,32.25,4.25,22.75
206,32.25,4.25,22.75
207,31.45,3.75,21.94
208,31.45,3.75,21.94
209,31.45,3.75,21.94
210,31.45,3.75,21.94
211,31.45,3.75,21.94
212,31.45,3.75,21.94
213,31.51,3.96,21.45
214,31.51,3.96,21.45
215,31.51,3.96,21.45
216,31.51,3.96,21.45
217,31.51,3.96,21.45
218,31.51,3.96,21.45
219,31.43,4.55,21.68
220,31.43,4.55,21.68
221,31.43,4.55,21.68
222,31.43,4.55,21.68
223,31.43,4.55,21.68
224,31.43,5.82,22.47
225,30.68,5.82,22.47
226,30.68,5.82,22.47
227,30.68,5.82,22.47
228,30.68,5.82,22.47
229,30.68,5.82,22.47
230,31.32,5.71,22.68
231,31.32,5.71,22.68
232,31.32,5.71,22.68
233,31.32,5.71,22.68
234,31.32,5.71,22.68
235,31.32,5.71,22.68
236,30.79,5.51,23.11
237,30.79,5.51,23.11
238,30.79,5.51,23.11
239,30.79,5.51,23.11
240,30.79,5.51,23.11
241,30.79,5.51,23.11
242,31.18,6.25,23.66
243,31.18,6.25,23.66
244,31.18,6.25,23.66
245,31.18,6.25,23.66
246,31.18,6.25,23.66
247,31.18,6.25,23.66
248,30.62,5.63,23.0
249,30.62,5.63,23.0
250,30.62,5.63,23.0
251,30.62,5.63,23.0
252,30.62,5.63,23.0
253,30.62,5.63,23.0
254,31.58,5.0,22.57
255,31.58,5.0,22.57
256,31.58,5.0,22.57
257,31.58,5.0,22.57
258,31.58,5.0,22.57
259,30.88,4.8,22.63
260,30.88,4.8,22.63
261,30.88,4.8,22.63
262,30.88,4.8,22.63
263,30.88,4.8,22.63
264,30.88,4.8,22.63
265,30.92,5.27,22.39
266,30.92,5.27,22.39
267,30.92,5.27,22.39
268,30.92,5.27,22.39
269,30.92,5.27,22.39
270,30.92,5.27,22.39
271,31.18,4.91,22.97
272,31.18,4.91,22.97
273,31.18,4.91,22.97
274,31.18,4.91,22.97
275,31.18,4.91,22.97
276,31.18,4.91,22.97
277,31.08,4.59,24.23
278,31.08,4.59,24.23
279,31.08,4.59,24.23
280,31.08,4.59,24.23
281,31.08,4.59,24.23
282,31.08,4.59,24.23
283,31.18,5.24,22.8
284,31.18,5.24,22.8
285,31.18,5.24,22.8
286,31.18,5.24,22.8
287,31.18,5.24,22.8
288,31.18,5.24,22.8
289,31.34,5.0,22.38
290,31.34,5.0,22.38
