,X,Y,Z
193,-0.01,0.98,-0.07
194,-0.01,0.98,-0.06
195,-0.01,0.98,-0.06
196,-0.01,0.98,-0.06
197,-0.01,0.98,-0.06
198,-0.01,0.98,-0.06
199,2.69,0.61,-0.49
200,2.32,0.37,-0.37
201,2.08,0.37,-0.31
202,2.26,0.37,-0.31
203,1.59,0.37,-0.43
204,1.22,0.43,-0.37
205,1.46,0.43,-0.31
206,3.17,2.81,-0.37
207,4.64,5.31,-0.37
208,4.27,3.72,-0.24
209,3.85,3.17,-0.37
210,3.54,1.95,-0.49
211,3.72,1.95,-0.61
212,4.7,2.56,-0.43
213,6.84,3.23,-0.49
214,7.57,3.78,-0.61
215,5.98,3.6,-0.24
216,4.7,2.14,-0.55
217,3.11,1.53,-0.49
218,2.62,1.53,-0.49
219,3.42,1.65,-0.55
220,2.99,1.34,-0.24
221,1.34,1.34,-0.31
222,0.12,1.95,-0.18
223,0.61,2.26,-0.24
224,1.1,2.32,-0.24
225,1.95,3.54,-0.31
226,2.93,2.69,-0.31
227,2.93,1.34,-0.37
228,2.26,0.98,-0.43
229,2.08,0.67,-0.24
230,1.65,0.49,-0.12
231,1.65,0.61,-0.31
232,1.77,0.55,-0.18
233,0.98,0.67,-0.24
234,0.67,0.61,-0.24
235,0.85,0.37,-0.24
236,1.46,0.37,-0.43
237,1.65,0.18,-0.37
238,1.77,0.24,-0.31
239,2.14,0.31,-0.24
240,2.26,0.37,-0.24
241,1.59,0.37,-0.37
242,1.34,0.31,-0.24
243,1.1,0.37,-0.31
244,0.85,0.18,-0.24
245,1.28,0.18,-0.24
246,1.22,0.24,-0.24
247,1.95,0.31,-0.24
248,2.5,0.37,-0.49
249,3.05,0.43,-0.55
250,3.42,0.31,-0.49
251,3.17,0.18,-0.37
252,2.87,0.31,-0.31
253,2.81,0.61,-0.43
254,2.93,0.43,-0.37
255,3.36,0.49,-0.37
256,2.93,0.73,-0.37
257,2.81,0.43,-0.49
258,2.2,0.37,-0.43
259,1.71,0.43,-0.43
260,1.83,0.37,-0.43
261,1.53,0.31,-0.37
262,1.89,0.24,-0.31
263,2.81,0.43,-0.43
264,2.99,0.18,-0.43
265,3.05,0.18,-0.37
266,2.69,0.31,-0.31
267,2.08,0.24,-0.31
268,2.38,0.31,-0.37
269,2.62,0.31,-0.37
270,2.75,0.37,-0.37
271,2.93,0.37,-0.37
272,3.6,0.37,-0.43
273,2.99,0.31,-0.43
274,2.01,0.49,-0.37
275,1.77,0.31,-0.31
276,1.77,0.31,-0.37
277,1.89,0.24,-0.37
278,2.99,0.37,-0.31
279,3.54,0.31,-0.49
280,3.3,0.31,-0.37
281,3.17,0.31,-0.37
282,2.56,0.31,-0.31
283,2.14,0.37,-0.37
284,1.89,0.37,-0.37
285,1.89,0.37,-0.37
286,1.65,0.18,-0.31
287,1.77,0.31,-0.37
288,2.5,0.49,-0.37
289,1.4,0.37,-0.37
290,1.71,0.18,-0.43
291,2.62,0.31,-0.43
292,3.23,0.43,-0.49
293,2.99,0.24,-0.43
294,3.42,0.24,-0.37
295,3.6,0.31,-0.43
296,3.3,0.24,-0.37
297,1.83,0.31,-0.43
298,1.16,0.37,-0.37
299,0.49,0.31,-0.31
300,-0.85,0.12,-0.49
301,-1.16,0.18,-0.37
302,-1.1,0.31,-0.49
303,-1.28,0.18,-0.49
304,-0.73,0.31,-0.37
305,0.67,0.31,-0.37
306,2.14,0.18,-0.31
307,3.17,0.31,-0.31
308,3.6,0.24,-0.31
309,3.11,0.43,-0.43
310,2.14,0.37,-0.37
311,2.38,0.43,-0.31
312,3.6,0.43,-0.37
313,4.7,0.49,-0.37
314,3.54,0.18,-0.31
315,2.08,0.24,-0.37
316,1.89,0.31,-0.37
317,2.01,0.37,-0.31
318,2.26,0.24,-0.37
319,2.32,0.24,-0.31
320,1.83,0.06,-0.31
321,1.28,0.18,-0.31
322,1.53,0.24,-0.31
323,2.32,0.18,-0.31
324,3.23,0.31,-0.24
325,3.85,0.49,-0.31
326,3.85,0.18,-0.31
327,4.58,0.31,-0.31
328,3.42,0.31,-0.18
329,3.36,0.18,-0.37
330,3.66,0.31,-0.37
331,2.08,0.31,-0.37
332,0.31,0.18,-0.31
333,0.06,0.18,-0.37
334,0.61,0.24,-0.31
335,0.79,0.24,-0.49
336,0.92,0.24,-0.43
337,1.65,0.18,-0.37
338,2.44,0.31,-0.24
339,2.93,0.31,-0.49
340,3.66,0.12,-0.31
341,3.85,0.37,-0.31
342,3.36,0.12,-0.37
343,3.17,0.24,-0.43
344,3.72,0.24,-0.31
345,3.54,0.24,-0.18
346,2.5,0.31,-0.24
347,2.2,0.37,-0.37
348,2.2,0.37,-0.24
349,2.62,0.24,-0.24
350,3.6,0.24,-0.37
351,5.31,0.37,-0.24
352,6.29,0.31,-0.24
353,4.33,0.37,-0.18
354,2.93,0.24,-0.24
355,2.26,0.37,-0.37
356,1.83,0.37,-0.31
357,1.34,0.31,-0.37
358,0.31,0.24,-0.43
359,-0.24,0.31,-0.43
360,-0.18,0.24,-0.43
361,-0.18,0.24,-0.43
362,-0.18,0.12,-0.31
363,0.43,0.06,-0.37
364,1.53,0.24,-0.37
365,2.56,0.37,-0.24
366,2.62,0.37,-0.31
367,3.11,0.18,-0.24
368,3.78,0.12,-0.31
369,3.11,0.18,-0.31
370,2.01,0.18,-0.43
371,0.92,0.18,-0.37
372,0.24,0.18,-0.24
373,0.06,0.18,-0.31
374,-0.61,0.12,-0.24
375,-0.98,0.18,-0.49
376,-1.28,0.12,-0.43
377,-1.04,0.12,-0.37
378,-0.31,0.24,-0.31
379,0.67,0.37,-0.31
380,0.73,0.24,-0.43
381,1.4,0.12,-0.43
382,2.38,0.24,-0.43
383,2.87,0.18,-0.24
384,-0.12,0.31,-0.49
385,-0.18,0.18,-0.43
386,0.06,0.18,-0.49
387,-0.06,0.12,-0.49
388,0.18,0.24,-0.43
389,0.43,0.18,-0.43
390,0.73,0.18,-0.37
391,2.01,0.18,-0.37
392,2.81,0.24,-0.43
393,2.5,0.24,-0.37
394,2.14,0.18,-0.43
395,1.65,0.18,-0.43
396,1.4,0.18,-0.43
397,1.34,0.24,-0.49
398,30.44,36.9,-13.17
399,30.44,36.9,-13.17
400,30.44,36.9,-13.17
401,30.44,36.9,-13.17
402,30.44,36.9,-13.17
403,30.82,37.07,-12.21
404,30.82,37.07,-12.21
405,30.82,37.07,-12.21
406,30.82,37.07,-12.21
407,30.82,37.07,-12.21
408,30.82,37.07,-12.21
409,31.03,36.74,-12.95
410,31.03,36.74,-12.95
411,31.03,36.74,-12.95
412,31.03,36.74,-12.95
413,31.03,36.74,-12.95
414,30.75,37.15,-11.78
415,30.75,37.15,-11.78
416,30.75,37.15,-11.78
417,30.75,37.15,-11.78
418,30.75,37.15,-11.78
419,30.75,37.15,-11.78
420,31.37,36.95,-12.28
421,31.37,36.95,-12.28
422,31.37,36.95,-12.28
423,31.37,36.95,-12.28
424,31.37,36.95,-12.28
425,31.37,36.95,-12.28
426,31.26,36.8,-12.28
427,31.26,36.8,-12.28
428,31.26,36.8,-12.28
429,31.26,36.8,-12.28
430,31.26,36.8,-12.28
431,31.26,36.8,-12.28
432,31.05,36.96,-11.61
433,31.05,36.96,-11.61
434,31.05,36.96,-11.61
435,31.05,36.96,-11.61
436,31.05,36.96,-11.61
437,30.35,36.82,-13.11
